"Northing ","Westing","% Cover"
"50.765411","-120.868408","25"
"50.765423","-120.868408","10"
"50.765461","-120.867165","5"
"50.765533","-120.866669","<5"
"50.765606","-120.866158","<5"
"50.765743","-120.865662","<5"
"50.764931","-120.868401","0"
"50.765034","-120.867828","5 - 10"
"50.765068","-120.867348","<5"
"50.765461","-120.867165","5"
"50.765224","-120.866631","10 - 15"
"50.765278","-120.86602","5 - 10"
"50.765404","-120.86554","<5"
"50.76453","-120.868362","80"
"50.764469","-120.867859","0"
"50.764557","-120.867027","30"
"50.764755","-120.865997","30"
"50.764507","-120.865501","<5"
"50.764328","-120.866234","60"
"50.764217","-120.867012","30"
"50.764206","-120.867691","0"
"50.764168","-120.868027","0"
"50.764118","-120.868385","10"
"50.764099","-120.868629","0"
"50.763775","-120.868645","0"
"50.763783","-120.868217","0"
"50.763767","-120.867462","<5"
"50.763893","-120.86657","75"
"50.764000","-120.865829","25"
"50.76403","-120.865196","10"
"50.763611","-120.865295","0"
"50.763496","-120.865799","50"
"50.763451","-120.866737","<5"
"50.763317","-120.8675","<5"
"50.763348","-120.867744","<5"
"50.762962","-120.867981","5 - 10"
"50.762997","-120.867432","10"
"50.763161","-120.866104",">75"
"50.763252","-120.865379","5 - 10"
"50.763123","-120.865036","25"
"50.762886","-120.864914","<5"
"50.762798","-120.865540","<5"
"50.762764","-120.866158","<5"
"50.762707","-120.866974","30"
"50.762646","-120.867485","<5"
"50.762634","-120.868317","20"
