Northing ,Westing,% Cover
50.765411,-120.868408,25
50.765423,-120.868408,10
50.765461,-120.867165,5
50.765533,-120.866669,1- 5
50.765606,-120.866158,0
50.765743,-120.865662,1- 5
50.764931,-120.868401,0(6-10)
50.765034,-120.867828,60(0)
50.765068,-120.867348,0
50.765461,-120.867165,5(20)
50.765224,-120.866631,0
50.765278,-120.86602,0(60)
50.765404,-120.86554,1- 5
50.76453,-120.868362,80(25)
50.764469,-120.867859,0
50.764557,-120.867027,30
50.764755,-120.865997,1- 5
50.764507,-120.865501,1- 5
50.764328,-120.866234,0
50.764217,-120.867012,1- 5
50.764206,-120.867691,0
50.764168,-120.868027,0
50.764118,-120.868385,0
50.764099,-120.868629,0
50.763775,-120.868645,0
50.763783,-120.868217,0
50.763767,-120.867462,1- 5
50.763893,-120.86657,75(45)
50.764,-120.865829,0
50.76403,-120.865196,1- 5
50.763611,-120.865295,0
50.763496,-120.865799,75(50)
50.763451,-120.866737,1- 5
50.763317,-120.8675,1- 5
50.763348,-120.867744,1- 5
50.762962,-120.867981,5 - 10(6-10)
50.762997,-120.867432,5
50.763161,-120.866104,>75(70)
50.763252,-120.865379,1- 5
50.763123,-120.865036,1- 5
50.762886,-120.864914,1- 5(6-10)
50.762798,-120.86554,1- 5
50.762764,-120.866158,1- 5
50.762707,-120.866974,30(40)
50.762646,-120.867485,1- 5
50.762634,-120.868317,1- 5
50.762447,-120.86908,10- 15 (5-10)
50.763,-120.868675,0
50.763451,-120.868469,0
50.763702,-120.868576,0
50.763451,-120.86805,0
50.762531,-120.867851,0
50.762215,-120.867241,1- 5
50.761993,-120.867203,0
50.761948,-120.866661,0
50.762051,-120.86631,0
50.762062,-120.865921,0
50.762596,-120.864876,1- 5
50.762711,-120.86525,1- 5
50.76292,-120.865166,15-20
50.763031,-120.865288,0
50.763611,-120.864243,0
50.763699,-120.864456,5-10
50.763622,-120.864899,0
50.764057,-120.864357,0
50.763962,-120.86412,5-10
50.763733,-120.863747,0
50.762978,-120.864182,0
50.762722,-120.86512,1- 5
50.762646,-120.866379,1- 5
50.76750128,-120.8702216,0
50.76728847,-120.8710216,0
50.76719019,-120.8690009,0
50.76753152,-120.8684499,0
50.76653221,-120.8671718,0
50.76194422,-120.8693409,0
50.76393227,-120.8677479,0
50.76409012,-120.8680282,0
50.76403739,-120.8694185,0
50.76472778,-120.8679666,0
50.76485148,-120.867838,0
50.76360828,-120.8666526,0
50.76324666,-120.8690814,0
50.76348772,-120.8695895,0
50.76769784,-120.8678003,0
50.76826246,-120.8701638,0
50.76812483,-120.8702583,0
50.76705762,-120.8679557,0
50.76763092,-120.8710863,0
50.76832314,-120.8708435,0
50.76808032,-120.8688062,0
50.76792898,-120.8691638,0
50.76784067,-120.8681317,0
50.76909915,-120.8707682,0
50.77028766,-120.8705843,0
50.77068662,-120.8709351,0
50.77051548,-120.8708985,0
50.77060001,-120.8711297,0
50.7709309,-120.8714045,0
50.77077337,-120.8714784,0
50.77090442,-120.8717646,0
50.77084058,-120.8718882,0
50.77116509,-120.870575,0
50.77108716,-120.8701817,0
50.77102817,-120.8695238,0
50.77114345,-120.8695812,0
50.77025717,-120.868836,0
50.77096924,-120.8683299,0
50.7698689,-120.868753,0
50.76971078,-120.8718737,0
50.77031256,-120.8718683,0
50.76566166,-120.8710435,0
50.76542024,-120.8710325,0
50.7644315,-120.8700104,0
50.76442837,-120.8691731,0
50.76504079,-120.8687979,0
